,Symbol,Current_Price,Engullfin,Trustinline,TweezerBottom,RsiComparator,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout
204,EQUITASBNK,59.0,,,,,DownTrend,,Yes,,,Yes,,,
205,ESABINDIA,4197.0,,,,,DownTrend,,Yes,2510,,,Yes,,
206,ESCORTS,2298.0,,,,,DownTrend,Yes,,,,,Yes,,
207,ETHOSLTD,991.0,,,,,DownTrend,,Yes,,Yes,Yes,,,
208,EVEREADY,360.0,,,,,DownTrend,Yes,,,,Yes,,,
209,EXIDEIND,191.0,,,,,UpTrend,,Yes,252,,,Yes,,
210,FACT,147.0,,,,,DownTrend,Yes,,,Yes,Yes,,,
211,FAIRCHEMOR,1567.0,,,,,DownTrend,,Yes,,Yes,Yes,,,
212,FCL,317.0,,,,,DownTrend,Yes,,,,,,,
213,FDC,285.0,,,,,DownTrend,,,,Yes,,Yes,,
214,FEDERALBNK,134.0,,,,,DownTrend,,,,,Yes,,,
215,FILATEX,97.0,,,,,DownTrend,,,,,Yes,,,
216,FINCABLES,562.0,,,,,DownTrend,Yes,,,,,Yes,,
217,FINEORG,6111.0,,,,,DownTrend,,,,,,,,
218,FINOPB,233.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
219,FINPIPE,172.0,,,,,UpTrend,Yes,,,,,Yes,,
220,FLUOROCHEM,3253.0,,,,,DownTrend,Yes,,,,,Yes,,
221,FORCEMOT,1550.0,,,,,DownTrend,Yes,,,,,Yes,,
222,FORTIS,291.0,,,,,DownTrend,Yes,,,,Yes,,,
223,FSL,112.0,,,,Yes,UpTrend,Yes,,,,,Yes,,
224,GABRIEL,184.0,,,,,DownTrend,Yes,,,,,Yes,,
225,GAEL,233.0,,,,,DownTrend,Yes,,,,,Yes,,
226,GAIL,93.0,,,,,DownTrend,Yes,,,,,Yes,,
227,GALAXYSURF,2796.0,,,,,DownTrend,Yes,,,Yes,,,,
228,GANESHHOUC,343.0,,,,,DownTrend,,,,,,Yes,,
229,GARFIBRES,3397.0,,,,,DownTrend,Yes,,,,,Yes,,
230,GATEWAY,68.0,,,,Yes,DownTrend,Yes,,,Yes,,,,
231,GATI,161.0,,,,,DownTrend,,,,,,,,
232,GEOJITFSL,48.0,,,,,DownTrend,,Yes,21,,,Yes,,
233,GESHIP,682.0,,,,,DownTrend,Yes,,,,,Yes,,
234,GICRE,147.0,,,,,DownTrend,Yes,,,,,Yes,,
235,GLAND,1734.0,,,,,DownTrend,Yes,,,,,,,
236,GLAXO,1328.0,,,,,DownTrend,,,,,,Yes,,
237,GLENMARK,425.0,,,,Yes,DownTrend,Yes,,,,,,,
238,GLOBUSSPR,883.0,,,,,UpTrend,Yes,,,,,Yes,,
239,GLS,433.0,,,,,DownTrend,,,,,,Yes,,
240,GMDCLTD,157.0,,,,Yes,UpTrend,Yes,,,,,Yes,,
241,GMMPFAUDLR,1902.0,,,,,DownTrend,,,,,,,,
242,GMRINFRA,43.0,,,,Yes,UpTrend,Yes,,,,Yes,,,
243,GNFC,596.0,,,,,DownTrend,Yes,,,,,Yes,,
244,GOCOLORS,1155.0,,,,,DownTrend,Yes,,,,,,,
245,GODFRYPHLP,1771.0,,,,,DownTrend,Yes,,,,,,,
246,GODREJAGRO,485.0,,,,,DownTrend,Yes,,,,,Yes,,
247,GODREJCP,885.0,,,,,UpTrend,,Yes,21,Yes,,Yes,,
248,GODREJIND,464.0,,,,,DownTrend,Yes,,,,,Yes,,
249,GODREJPROP,1343.0,,,,,UpTrend,Yes,,,,,Yes,,
250,GOKEX,378.0,,,,Yes,DownTrend,Yes,,,,Yes,,,
251,GOODYEAR,1150.0,,,,,DownTrend,Yes,,,,Yes,,,
252,GPIL,331.0,,,,Yes,UpTrend,Yes,,,,,Yes,,
253,GPPL,90.0,,,,,DownTrend,,,,,,,,
254,GRANULES,336.0,,,,,DownTrend,Yes,,,,,,,
255,GRAPHITE,400.0,,,,,DownTrend,Yes,,,,,Yes,,
256,GRASIM,1826.0,,,,,UpTrend,,Yes,,,,Yes,,
257,GRAVITA,384.0,,,,,DownTrend,,Yes,2510,,Yes,,,
258,GREAVESCOT,144.0,,,,,DownTrend,,,,,,Yes,Yes,
259,GREENPANEL,374.0,,,,,DownTrend,Yes,,,,,Yes,,
260,GREENPLY,161.0,,,,,DownTrend,,,,,,Yes,,
261,GRINDWELL,1929.0,,,,,DownTrend,,,,,,,,
262,GRINFRA,1212.0,,,,,DownTrend,Yes,,,,,Yes,,
263,GRSE,518.0,,,,,DownTrend,Yes,,,,,Yes,,
264,GRWRHITECH,706.0,,,,,DownTrend,Yes,,,,,Yes,,
265,GSFC,132.0,,,,,DownTrend,Yes,,,,,Yes,,
266,GSPL,266.0,,,,Yes,DownTrend,Yes,,,,Yes,,,
267,GTLINFRA,1.0,,,,,DownTrend,Yes,,,,,,,
268,GUFICBIO,218.0,,,,,DownTrend,,Yes,,Yes,Yes,,,
269,GUJALKALI,798.0,,,,,UpTrend,,,,,Yes,,,
270,GUJGASLTD,509.0,,,,,DownTrend,,,,,,Yes,,
271,GULFOILLUB,460.0,,,,Yes,UpTrend,Yes,,,,,Yes,,
272,HAL,2758.0,,,,,UpTrend,Yes,,,,,Yes,,
273,HAPPSTMNDS,969.0,,,,,DownTrend,,,,,,Yes,,
274,HATHWAY,17.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
275,HATSUN,970.0,,,,,DownTrend,,Yes,21,Yes,,Yes,,
276,HAVELLS,1222.0,,,,,DownTrend,,,,,,,,
277,HBLPOWER,109.0,,,,,DownTrend,Yes,,,,,,,
278,HCC,18.0,,,,,DownTrend,Yes,,,,,Yes,,
279,HCG,305.0,,,,Yes,DownTrend,Yes,,,,,,,
280,HCLTECH,1120.0,,,,,DownTrend,,,,,Yes,,,
281,HDFC,2684.0,,,,,DownTrend,,,,Yes,,Yes,,
282,HDFCAMC,2192.0,,,,,DownTrend,Yes,,,,,Yes,,
283,HDFCBANK,1611.0,,,,,DownTrend,,,,,Yes,,,
284,HDFCLIFE,586.0,,,,,DownTrend,Yes,,,,,Yes,,
285,HEG,1065.0,,,,,DownTrend,Yes,,,,,Yes,,
286,HEIDELBERG,207.0,,,,Yes,DownTrend,Yes,,,,Yes,,,
287,HEMIPROP,114.0,,,,Yes,DownTrend,,Yes,63,,Yes,,,
288,HERANBA,530.0,,,,,DownTrend,Yes,,,,,Yes,,
289,HERITGFOOD,336.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
290,HEROMOTOCO,2798.0,,,,,DownTrend,Yes,,,,,Yes,,
291,HFCL,83.0,,,,,DownTrend,,Yes,189,,Yes,,,
292,HGINFRA,595.0,,,,,DownTrend,Yes,,,,,Yes,,
293,HGS,1377.0,,,,,UpTrend,Yes,,,,,Yes,,
294,HIKAL,351.0,,,,,DownTrend,Yes,,,Yes,Yes,,,
295,HIL,2676.0,,,,,DownTrend,Yes,,,,Yes,,,
296,HIMATSEIDE,94.0,,,,,DownTrend,Yes,,,,,,,
297,HINDALCO,470.0,,,,,DownTrend,Yes,,,,,Yes,,
298,HINDCOPPER,119.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
299,HINDOILEXP,142.0,,,,,DownTrend,,,,,,Yes,,
300,HINDPETRO,224.0,,,,,DownTrend,Yes,,,,Yes,,,
301,HINDUNILVR,2654.0,,,,,DownTrend,Yes,,,Yes,Yes,,,
302,HINDWAREAP,395.0,,,,Yes,UpTrend,,Yes,21,Yes,Yes,,,
303,HINDZINC,315.0,,,,,DownTrend,,Yes,252,,,Yes,,
304,HLEGLAS,679.0,,,,,DownTrend,Yes,,,,,Yes,,
305,HNDFDS,715.0,,,,,DownTrend,Yes,,,,,Yes,,
306,HOMEFIRST,746.0,,,,,DownTrend,Yes,,,,,Yes,,
307,HONAUT,41234.0,,,,,UpTrend,Yes,,,,,Yes,,
308,HSCL,104.0,,,,Yes,DownTrend,Yes,,,,Yes,,,
309,HUDCO,51.0,,,,,DownTrend,Yes,,,,,Yes,,
310,IBREALEST,88.0,,,,Yes,DownTrend,,Yes,21,,Yes,,,
311,IBULHSGFIN,147.0,,,,Yes,DownTrend,,Yes,126,,,Yes,,
312,ICICIBANK,922.0,,,,,DownTrend,,,,,,Yes,,
313,ICICIGI,1220.0,,,,,DownTrend,Yes,,,,,Yes,,
314,ICICIPRULI,468.0,,,,,DownTrend,Yes,,,,,,,
315,ICIL,139.0,,,,,DownTrend,Yes,,,,,Yes,,
316,ICRA,4448.0,,,,,DownTrend,,Yes,1757,,,Yes,,
317,IDBI,58.0,,,,,DownTrend,,Yes,252,,Yes,,,
318,IDEA,8.0,,,,,DownTrend,,,,,,,,
319,IDFC,84.0,,,,,UpTrend,Yes,,,,,Yes,,
320,IDFCFIRSTB,60.0,,,,,UpTrend,Yes,,,,Yes,,,
321,IEX,148.0,,,,,DownTrend,Yes,,,,,Yes,,
322,IFBIND,909.0,,,,,DownTrend,Yes,,,,,,,
323,IFCI,14.0,,,,,DownTrend,Yes,,,,Yes,,,
324,IGL,439.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
325,IGPL,544.0,,,,,DownTrend,,Yes,21,Yes,Yes,,,
326,IIFL,468.0,,,,,DownTrend,Yes,,,,,Yes,,
327,IIFLSEC,68.0,,,,,DownTrend,,,,,,,,
328,IIFLWAM,1771.0,,,,,DownTrend,Yes,,,,,Yes,,
329,IMFA,262.0,,,,Yes,UpTrend,Yes,,,,Yes,,,
330,INDHOTEL,327.0,,,,Yes,UpTrend,,Yes,,,,Yes,,
331,INDIACEM,249.0,,,,Yes,DownTrend,,Yes,,,,Yes,,
332,INDIAGLYCO,755.0,,,,,DownTrend,,,,,,Yes,,
333,INDIAMART,4458.0,,,,,DownTrend,Yes,,,,,,,
334,INDIANB,292.0,,,,,DownTrend,,Yes,1008,,Yes,,,
335,INDIGO,1932.0,,,,,DownTrend,Yes,,,Yes,,Yes,,
336,INDIGOPNTS,1332.0,,,,,DownTrend,,,,,,,,
337,INDOCO,397.0,,,,Yes,DownTrend,Yes,,,,Yes,,,
338,INDORAMA,56.0,,,,,DownTrend,Yes,,,,Yes,,,
339,INDOSTAR,154.0,,,,,DownTrend,Yes,,,,Yes,,,
340,INDUSINDBK,1184.0,,,,,DownTrend,Yes,,,,Yes,,,
341,INDUSTOWER,198.0,,,,,DownTrend,,,,,,,,
342,INEOSSTYRO,822.0,,,,,UpTrend,Yes,,,,,Yes,,
343,INFIBEAM,18.0,,,,Yes,DownTrend,,Yes,,Yes,Yes,,,
344,INFY,1612.0,,,,,DownTrend,Yes,,,,,Yes,,
345,INGERRAND,2140.0,,,,,DownTrend,Yes,,,,,,,
346,INOXLEISUR,563.0,,,,,DownTrend,,Yes,63,,Yes,,,
347,INOXWIND,123.0,,,,,DownTrend,Yes,,,,Yes,,,
348,INTELLECT,456.0,,,,,DownTrend,Yes,,,,,Yes,,
349,IOB,23.0,,,,,DownTrend,Yes,,,,Yes,,,
350,IOC,75.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
351,IOLCP,341.0,,,,,DownTrend,Yes,,,,,Yes,,
352,IONEXCHANG,2972.0,,,,,UpTrend,,Yes,2510,,Yes,,,
353,IPCALAB,857.0,,,,,DownTrend,,,,,,,,
354,IPL,264.0,,,,,UpTrend,,,,Yes,,Yes,,
355,IRB,283.0,,,,,DownTrend,,Yes,189,,Yes,,,
356,IRCON,64.0,,,,,DownTrend,,Yes,,,,Yes,,
357,IRCTC,716.0,,,,,DownTrend,,,,,,Yes,,
358,IRFC,33.0,,,,,DownTrend,Yes,,,,,Yes,,
359,ISEC,532.0,,,,,DownTrend,,,,,,,,
360,ISGEC,519.0,,,,,DownTrend,Yes,,,,,Yes,,
361,ITC,337.0,,,"Bullish Tweezer bottom pattern ... 
 Entry on current Close and exit on next 5th candle close 
stop_loss only on days close = 334.15",,DownTrend,,,,,,,,
362,ITI,114.0,,,,,DownTrend,Yes,,,,,Yes,,
363,J&KBANK,54.0,,,,,DownTrend,,Yes,756,,Yes,,,
364,JAICORPLTD,173.0,,,,Yes,DownTrend,Yes,,,,Yes,,,
365,JAMNAAUTO,111.0,,,,,UpTrend,Yes,,,,Yes,,,
366,JBCHEPHARM,2030.0,,,,,DownTrend,Yes,,,Yes,,Yes,,
367,JBMA,424.0,,,,,DownTrend,Yes,,,,,,,
368,JCHAC,1169.0,,,,,DownTrend,Yes,,,,,Yes,,
369,JINDALPOLY,868.0,,,,,UpTrend,Yes,,,,,Yes,,
370,JINDALSAW,94.0,,,,,DownTrend,,Yes,126,,,Yes,,
371,JINDALSTEL,567.0,,,,,DownTrend,Yes,,,,,Yes,,
372,JINDWORLD,368.0,,,,,DownTrend,Yes,,,,Yes,,,
373,JISLJALEQS,33.0,,,,,DownTrend,Yes,,,,,,,
374,JKCEMENT,3177.0,,,,,DownTrend,Yes,,,,,Yes,,
375,JKIL,275.0,,,,,DownTrend,,,,,,,,
376,JKLAKSHMI,809.0,,,,,UpTrend,Yes,,,,Yes,,,
377,JKPAPER,406.0,,,,,DownTrend,,,,,,,,
378,JKTYRE,207.0,,,,,DownTrend,,Yes,2510,,,Yes,,
379,JMFINANCIL,80.0,,,,,DownTrend,Yes,,,,Yes,,,
380,JPASSOCIAT,10.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
381,JPPOWER,7.0,,,,Yes,UpTrend,Yes,,,,,,,
382,JSL,197.0,,,,,UpTrend,,Yes,126,,Yes,,,Yes wait for breakout of resistance => 197.3000030517578
383,JSWENERGY,310.0,,,,,DownTrend,,,,Yes,Yes,,,
384,JSWISPL,31.0,,,,,DownTrend,Yes,,,,,Yes,,
385,JSWSTEEL,746.0,,,,,DownTrend,Yes,,,,,Yes,,
386,JUBLFOOD,555.0,,,,,DownTrend,,,,Yes,,Yes,,
387,JUBLINGREA,527.0,,,,,DownTrend,Yes,,,,,,,
388,JUBLPHARMA,371.0,,,,,DownTrend,Yes,,,,,Yes,,
389,JUSTDIAL,586.0,,,,,DownTrend,,,,,,Yes,,
390,JYOTHYLAB,208.0,,,,Yes,DownTrend,Yes,,,,Yes,,,
391,KAJARIACER,1158.0,,,,,DownTrend,Yes,,,,,Yes,,
392,KALPATPOWR,509.0,,,,,DownTrend,Yes,,,,,,,
393,KALYANKJIL,113.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
394,KANSAINER,444.0,,,,,DownTrend,,,,,Yes,,,
395,KARURVYSYA,101.0,,,,,DownTrend,,,,Yes,,,,
396,KCP,124.0,,,,Yes,DownTrend,,,,Yes,,Yes,,
397,KEC,422.0,,,,,UpTrend,,,,,Yes,,,
398,KEI,1575.0,,,,,DownTrend,Yes,,,,,,,
399,KENNAMET,2663.0,,,,,DownTrend,Yes,,,,,,,
400,KIMS,1515.0,,,,,DownTrend,Yes,,,Yes,,,,
401,KIRIINDUS,484.0,,,,,DownTrend,Yes,,,,,,,
402,KIRLFER,331.0,,,,,DownTrend,,Yes,2510,,Yes,,,
403,KIRLOSENG,335.0,,,,,DownTrend,Yes,,,,,Yes,,
404,KNRCON,261.0,,,,Yes,DownTrend,Yes,,,Yes,,Yes,,
405,KOLTEPATIL,305.0,,,,,DownTrend,,,,,,Yes,,
406,KOTAKBANK,1935.0,,,,,DownTrend,,,,,,,,
407,KPITTECH,715.0,,,,,DownTrend,Yes,,,,,Yes,,
408,KPRMILL,542.0,,,,,DownTrend,Yes,,,,,,,
409,KRBL,418.0,,,,,DownTrend,Yes,,,,,Yes,,
410,KRSNAA,477.0,,,,,DownTrend,,,,,,,,
411,KSB,1939.0,,,,,DownTrend,Yes,,,Yes,,Yes,,
412,KSCL,524.0,,,,,DownTrend,,Yes,63,,Yes,,,
413,KTKBANK,154.0,,,,,DownTrend,Yes,,,,,Yes,,
414,L&TFH,93.0,,,,Yes,DownTrend,,Yes,252,,Yes,,,
415,LALPATHLAB,2486.0,,,,,UpTrend,,,,,Yes,,,
416,LAOPALA,409.0,,,,,DownTrend,Yes,,,,,Yes,,
417,LATENTVIEW,362.0,,,,,DownTrend,,,,,,Yes,,
418,LAURUSLABS,419.0,,,,,DownTrend,Yes,,,,,,,
419,LAXMIMACH,13314.0,,,,,DownTrend,,,,,Yes,,,
420,LEMONTREE,94.0,,,,,DownTrend,Yes,,,,,,,
421,LGBBROSLTD,710.0,,,,,DownTrend,,,,,,Yes,,
422,LICHSGFIN,409.0,,,,,DownTrend,,Yes,21,Yes,Yes,,,
423,LICI,651.0,,,,,DownTrend,,,,,Yes,,,
424,LINDEINDIA,3079.0,,,,,DownTrend,,,,,,Yes,,
425,LODHA,1055.0,,,,,DownTrend,Yes,,,,,Yes,,
426,LT,2093.0,,,,,DownTrend,,,,Yes,,Yes,,
427,LTIM,,,,,,,,,,,,,,
428,LTTS,4218.0,,,,,DownTrend,Yes,,,,,Yes,,
429,LUPIN,767.0,,,,,DownTrend,Yes,,,,,Yes,,
430,LUXIND,1707.0,,,,,UpTrend,,,,,Yes,,,
431,LXCHEM,312.0,,,,,DownTrend,Yes,,,,Yes,,,
432,M&M,1263.0,,,,,DownTrend,Yes,,,,,Yes,,
433,M&MFIN,239.0,,,,Yes,UpTrend,Yes,,,,,Yes,,
434,MAHABANK,28.0,,,,,DownTrend,Yes,,,Yes,Yes,,,
435,MAHINDCIE,292.0,,,,,DownTrend,,,,Yes,Yes,,,
436,MAHLIFE,386.0,,,,,DownTrend,Yes,,,,,Yes,,
437,MAHLOG,496.0,,,,,DownTrend,Yes,,,,,,,
438,MAHSCOOTER,4840.0,,,,,DownTrend,Yes,,,,,,,
439,MAHSEAMLES,392.0,,,,,DownTrend,Yes,,,Yes,,Yes,,
440,MAITHANALL,955.0,,,,,DownTrend,,,,,Yes,,,
441,MANALIPETC,83.0,,,,,UpTrend,Yes,,,,,Yes,,
442,MANAPPURAM,122.0,,,,,UpTrend,Yes,,,,,Yes,,
443,MANINFRA,80.0,,,,,DownTrend,,Yes,,Yes,Yes,,,
444,MANYAVAR,1332.0,,,,,DownTrend,Yes,,,,,,,
445,MAPMYINDIA,1192.0,,,,,DownTrend,Yes,,,,,,,
446,MARICO,502.0,,,,,DownTrend,,,,,,Yes,,
447,MARKSANS,63.0,,,,,DownTrend,,Yes,252,,Yes,,,
448,MARUTI,8717.0,,,,,DownTrend,,,,,,,,
449,MASFIN,822.0,,,,,DownTrend,Yes,,,,,,,
450,MASTEK,1794.0,,,,,DownTrend,,Yes,,,Yes,,,
451,MATRIMONY,603.0,,,,,DownTrend,,,,,,Yes,,
452,MAXHEALTH,438.0,,,,,DownTrend,Yes,,,,,Yes,,
453,MAYURUNIQ,436.0,,,,,DownTrend,Yes,,,,,,,
454,MAZDOCK,889.0,,,,,DownTrend,Yes,,,,,Yes,,
455,MCDOWELL-N,932.0,,,,,DownTrend,Yes,,,,,Yes,,
456,MCX,1560.0,,,,,DownTrend,,,,,,Yes,,
457,MEDPLUS,712.0,,,,,UpTrend,,Yes,21,Yes,Yes,,,
458,METROBRAND,831.0,,,,,DownTrend,Yes,,,,,Yes,,
459,METROPOLIS,1445.0,,,,,UpTrend,,,,,,,,
460,MFL,1244.0,,,,,DownTrend,Yes,,,,,,,
461,MFSL,713.0,,,,,DownTrend,Yes,,,,,Yes,,
462,MGL,899.0,,,,,UpTrend,,,,,,Yes,,
463,MHRIL,290.0,,,,Yes,DownTrend,,Yes,21,Yes,Yes,,,
464,MIDHANI,239.0,,,,,DownTrend,Yes,,,,,Yes,,
465,MINDACORP,219.0,,,,,UpTrend,Yes,,,,,Yes,,
466,MMFL,896.0,,,,,DownTrend,Yes,,,Yes,,Yes,,
467,MMTC,41.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
468,MOIL,166.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
469,MOL,112.0,,,,,DownTrend,,,,Yes,,,,
470,MOLDTKPAC,922.0,,,,,DownTrend,,Yes,,Yes,,Yes,,
471,MOREPENLAB,31.0,,,,,DownTrend,Yes,,,,Yes,,,
472,MOTHERSON,73.0,,,,,DownTrend,Yes,,,,,,,
473,MOTILALOFS,667.0,,,,,DownTrend,,,,,,,,
474,MPHASIS,2095.0,,,,,DownTrend,Yes,,,,,Yes,,
475,MRF,94516.0,,,,,UpTrend,Yes,,,,,Yes,,
476,MRPL,58.0,,,,,DownTrend,Yes,,,,,Yes,,
477,MSTCLTD,326.0,,,,,DownTrend,Yes,,,,,Yes,,
478,MSUMI,60.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
479,MTARTECH,1723.0,,,,,DownTrend,Yes,,,,,Yes,,
480,MUTHOOTFIN,1115.0,,,,,DownTrend,Yes,,,,,Yes,,
481,NAM-INDIA,265.0,,,,,DownTrend,Yes,,,,Yes,,,
482,NATCOPHARM,580.0,,,,,DownTrend,,,,,Yes,,,
483,NATIONALUM,78.0,,,,Yes,DownTrend,Yes,,,,Yes,,,
484,NAUKRI,4053.0,,,,,UpTrend,Yes,,,,,Yes,,
485,NAVA,185.0,,,,,DownTrend,,,,Yes,,Yes,,
486,NAVINFLUOR,4416.0,,,,,UpTrend,,,,,,Yes,,
487,NAVNETEDUL,130.0,,,,,UpTrend,,,,Yes,,Yes,,
488,NAZARA,602.0,,,,,DownTrend,Yes,,,,,Yes,,
489,NBCC,42.0,,,,,DownTrend,Yes,,,,,Yes,,
490,NCC,79.0,,,,,DownTrend,Yes,,,,,,,
491,NEOGEN,1284.0,,,,,DownTrend,Yes,,,,,,,
492,NESCO,651.0,,,,,DownTrend,,Yes,21,Yes,Yes,,,
493,NESTLEIND,19911.0,,,,,DownTrend,,,,Yes,,Yes,,
494,NETWORK18,73.0,,,,Yes,UpTrend,Yes,,,,,Yes,,
495,NEULANDLAB,1712.0,,,,,DownTrend,Yes,,,Yes,,,,
496,NEWGEN,374.0,,,,,DownTrend,Yes,,,,Yes,,,
497,NFL,60.0,,,,Yes,DownTrend,,Yes,126,,Yes,,,
498,NH,752.0,,,,,DownTrend,,,,,,Yes,,
499,NHPC,43.0,,"Bullish TrustingLine pattern ... 
 Entry on current Close and exit on next 5th candle close 
stop_loss only on days close = 41.95",,,DownTrend,,,,,Yes,,,
500,NIACL,107.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
501,NIITLTD,328.0,,,,,DownTrend,Yes,,,,,Yes,,
502,NLCINDIA,87.0,,,,,DownTrend,Yes,,,,,Yes,,
503,NOCIL,234.0,,,,,DownTrend,,,,,,Yes,,
504,NRBBEARING,146.0,,,,,DownTrend,,,,,,,,
505,NTPC,175.0,,,,Yes,DownTrend,,Yes,,Yes,,Yes,,
506,NUVOCO,398.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
507,NYKAA,173.0,,,,,DownTrend,Yes,,,,,,,
508,OBEROIRLTY,944.0,,,,,DownTrend,Yes,,,,,Yes,,
509,OFSS,3132.0,,,,,DownTrend,Yes,,,,,Yes,,
510,OIL,210.0,,,,Yes,UpTrend,Yes,,,,Yes,,,
511,OLECTRA,495.0,,,,,DownTrend,Yes,,,,,,,
512,OMAXE,82.0,,,,,DownTrend,Yes,,,,,Yes,,
513,ONGC,142.0,,,,,DownTrend,Yes,,,,,Yes,,
514,OPTIEMUS,257.0,,,,,DownTrend,,Yes,21,Yes,Yes,,,
515,ORIENTCEM,129.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
516,ORIENTELEC,274.0,,,,Yes,DownTrend,Yes,,,,,,,
517,ORISSAMINE,2872.0,,,,,UpTrend,Yes,,,,,Yes,,
518,PAGEIND,46988.0,,,,,DownTrend,,,,,,Yes,,
519,PAISALO,82.0,,,,Yes,DownTrend,Yes,,,,Yes,,,
520,PANAMAPET,369.0,,,,,DownTrend,Yes,,,,,Yes,,
521,PARADEEP,59.0,,,,,DownTrend,Yes,,,,,Yes,,
522,PARAS,632.0,,,,,DownTrend,,Yes,,Yes,Yes,,,
523,PATANJALI,1303.0,,,,,DownTrend,Yes,,,,,Yes,,
524,PAYTM,514.0,,,,,DownTrend,Yes,,,,,Yes,,
525,PCBL,138.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
526,PERSISTENT,4135.0,,,,,DownTrend,Yes,,,,,Yes,,
527,PETRONET,214.0,,,,,DownTrend,,Yes,63,,Yes,,,
528,PFC,137.0,,,,,DownTrend,Yes,,,,,Yes,,
529,PFIZER,4568.0,,,,,DownTrend,,,,,Yes,,,
530,PGHH,14259.0,,,,,DownTrend,,,,Yes,,Yes,,
531,PGHL,4093.0,,,,,DownTrend,,,,,,,,
532,PHOENIXLTD,1460.0,,,,,DownTrend,,,,,,,,
533,PIDILITIND,2757.0,,,,,UpTrend,,Yes,,,Yes,,,
534,PIIND,3456.0,,,,,DownTrend,Yes,,,,,Yes,,
535,PNB,55.0,,,,,DownTrend,,Yes,504,,Yes,,,
536,PNBHOUSING,437.0,,,,,DownTrend,Yes,,,,,Yes,,
537,PNCINFRA,291.0,,,,,DownTrend,,Yes,,,Yes,,,Yes wait for breakout of resistance => 291.1499938964844
538,POKARNA,440.0,,,,,DownTrend,,,,,,,,
539,POLICYBZR,457.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
540,POLYCAB,2706.0,,,,,UpTrend,,Yes,,,Yes,,,
541,POLYMED,953.0,,,,,DownTrend,,,,,,,,
542,POLYPLEX,1753.0,,,,,DownTrend,,,,,,,,
543,POONAWALLA,298.0,,,,,DownTrend,Yes,,,,,Yes,,
544,POWERGRID,223.0,,,,,DownTrend,,,,Yes,Yes,,,
545,POWERINDIA,2990.0,,,,,DownTrend,,,,,Yes,,,
546,PRAJIND,382.0,,,,,DownTrend,Yes,,,,,,,
547,PRESTIGE,489.0,,,,Yes,DownTrend,Yes,,,,Yes,,,
548,PRINCEPIPE,632.0,,,,,UpTrend,,Yes,63,,Yes,,,
549,PRIVISCL,1192.0,,,,,DownTrend,Yes,,,,,,,
550,PRSMJOHNSN,122.0,,,,,DownTrend,Yes,,,,,,,
551,PRUDENT,994.0,,,,,UpTrend,,Yes,2510,,Yes,,,
552,PSPPROJECT,634.0,,,,,DownTrend,,,,,Yes,,,
553,PVR,1917.0,,,,,DownTrend,,Yes,21,Yes,,Yes,,
554,QUESS,449.0,,,,,DownTrend,Yes,,,,Yes,,,
555,RADICO,1095.0,,,,,DownTrend,Yes,,,,,Yes,,
556,RAILTEL,135.0,,,,,DownTrend,Yes,,,,,,,
557,RAIN,184.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
558,RAINBOW,760.0,,,,,DownTrend,Yes,,,,,,,
559,RAJESHEXPO,728.0,,,,,DownTrend,Yes,,,,,,,
560,RAJRATAN,911.0,,,,,DownTrend,Yes,,,,,,,
561,RALLIS,247.0,,,,Yes,DownTrend,,Yes,126,,Yes,,,
562,RAMCOCEM,699.0,,,,,UpTrend,,Yes,,Yes,Yes,,,
563,RATEGAIN,309.0,,,,,DownTrend,,Yes,,,,Yes,,
564,RATNAMANI,1964.0,,,,,DownTrend,,,,,Yes,,,
565,RAYMOND,1530.0,,,,,DownTrend,Yes,,,,,Yes,,
566,RBA,117.0,,,,,DownTrend,Yes,,,,,Yes,,
567,RBLBANK,153.0,,,,,DownTrend,Yes,,,,,Yes,,
568,RCF,128.0,,,,Yes,DownTrend,,Yes,2510,,Yes,,,
569,RECLTD,110.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
570,REDINGTON,185.0,,,,,DownTrend,,Yes,2510,,Yes,,,
571,RELAXO,946.0,,,,,DownTrend,Yes,,,,,Yes,,
572,RELIANCE,2690.0,,,,,DownTrend,Yes,,,,,Yes,,
573,RELIGARE,173.0,,,,,DownTrend,Yes,,,,,,,
574,RELINFRA,156.0,,,,,DownTrend,Yes,,,,Yes,,,
